latitude	longitutde
39.07312016	-78.37208697
39.03312354	-78.37718757
39.08460627	-78.51819925
39.09889749	-78.45801564
39.09839992	-78.46289413
39.08557148	-78.51350146
38.88682849	-80.2973549
36.13542439	-85.48122498
36.48837894	-82.47055286
37.46043401	-80.93100362
37.49891346	-80.89615158
39.07491322	-78.40222789
39.07899657	-78.56489196
38.9978822	-79.20772307
39.0852366	-78.51578187
47.16489096	-96.80036936
47.43469438	-96.82355172
47.4507242	-96.82170865
46.78429866	-92.2829983
46.80367133	-92.3617678
46.85265899	-92.7778884
46.97700662	-92.99876635
46.98086178	-93.00441962
46.99180082	-93.02530143
48.9743145	-95.25009515
47.44960453	-96.8222357
48.80411003	-95.98948808
48.55222506	-94.56074936
47.75220119	-94.26984166
47.22486167	-93.48790696
47.69100103	-94.21951158
47.33151216	-94.0396986
46.98883417	-93.01946402
37.63886564	-88.47896601
37.43181594	-88.24321868
37.62969335	-88.47671653
37.41634437	-88.1998823
37.38710064	-88.12276571
33.59170519	-112.5259869
38.84314993	-80.33242883
39.08988073	-79.79802476
38.08537058	-83.91996741
38.14144776	-83.71869927
38.13502565	-83.73342703
37.98471667	-84.81560734
33.5780403	-112.5016512
33.47073269	-112.4211259
38.9016675	-80.6176095
38.13556483	-81.40935583
37.98824089	-81.31122801
38.84078149	-81.93678221
34.09125915	-87.08089307
36.12177796	-95.85975077
36.15635307	-95.83608482
36.1377582	-95.85705503
40.11178976	-88.23846232
40.11029799	-88.24027619
40.11310228	-88.24728953
40.11261752	-88.24639326
40.11620622	-88.24196005
40.11634898	-88.24419378
40.11038862	-88.22872555
40.11072592	-88.2279097
35.35627628	-119.2034965
35.35627807	-119.2034814
36.63107209	-81.49891895
37.4246622	-81.00512531
40.91407092	-74.11752429
36.60982008	-81.47754222
36.61003839	-81.47645591
36.6096845	-81.4767257
36.67880136	-81.41662811
36.63006815	-81.49492083
33.14582082	-96.67800266
33.10544894	-96.67641392
33.14912712	-96.66883229
33.12945713	-96.72169888
33.13393921	-96.70926611
33.12960866	-96.72128099
33.14833095	-96.67112185
33.13882838	-96.69624481
33.14180746	-96.6883227
33.0976537	-96.80571035
33.09442956	-96.81330077
33.09268455	-96.81918231
33.13385186	-96.70960979
33.12317759	-96.74023258
33.12014679	-96.74931829
33.11588448	-96.76042985
33.10708819	-96.7822049
33.10011583	-96.79955959
33.09376261	-96.81713557
33.10805531	-96.67523656
33.09771956	-96.80556731
33.10204757	-96.79464039
32.75943413	-97.02220467
32.79616717	-96.81518152
32.79170491	-96.8136934
32.79925466	-96.8191042
33.02974752	-97.11798788
32.81100676	-97.056758
32.78737626	-97.05879794
32.82413993	-97.0176361
32.81010184	-97.01857167
32.83708025	-96.96423161
32.83705452	-96.95742547
32.83709381	-96.9733532
32.84620167	-97.04765702
32.82870717	-97.06080948
32.87679717	-96.99194822
32.87099962	-97.01186855
32.90208746	-96.96177865
32.89082464	-96.97832797
32.86410692	-97.02178392
32.83336333	-97.01789535
32.83813082	-97.0360992
32.83732444	-96.99984466
32.83720338	-97.00684886
32.90363633	-96.95859418
32.83713231	-96.98423029
32.90630906	-96.95852954
32.83901362	-97.01445734
32.83715809	-96.99729669
32.80722345	-97.02019529
32.78947065	-97.02034844
32.76784282	-97.02851053
33.02550932	-97.09104348
32.86408773	-97.0402323
33.25447997	-96.61295585
33.23176873	-96.63248238
33.32788824	-96.58947108
33.29079282	-96.59198653
33.19110653	-96.63953376
33.18136635	-96.64025934
33.16277486	-96.64463418
33.15552997	-96.65301446
33.17125593	-96.64348161
33.22256617	-96.63495777
33.19582153	-96.6390497
33.15173605	-96.66227099
33.14544464	-96.6788943
33.20525731	-96.63865458
33.1605197	-96.64818575
33.40698423	-96.58223049
33.36315034	-96.58363672
33.17490052	-96.64079891
33.12073608	-96.66773872
33.11998097	-96.66773707
33.26145756	-96.60452428
33.23420402	-96.63147571
33.29823355	-96.5914225
33.19730955	-96.63906519
33.18223511	-96.63975849
33.16928956	-96.64326787
33.22501449	-96.63389401
33.2125266	-96.63696671
33.14487789	-96.68044774
33.09178644	-96.68095884
33.08205422	-96.68387314
33.26858577	-96.59715018
33.20751778	-96.63813153
33.15303581	-96.64729387
33.13702613	-96.65412
33.38911724	-96.58072936
33.54353357	-96.6089946
33.16325182	-96.64340789
33.10145597	-96.67797151
33.84329813	-96.51703958
33.80753137	-96.55191832
33.75189317	-96.58555352
33.72697274	-96.58564904
33.69540853	-96.5983627
33.65208622	-96.6128362
33.62505911	-96.61339061
33.67196977	-96.61006784
33.50956348	-96.61734519
33.46371143	-96.61065994
